,data_dias,horario_inicio,horario_intervalo_inicio,horario_intervalo_final,horario_saida
0,DATA,ENTRADA,INTERVALO SAIDA,INTERVALO ENTRADA,SAIDA
1,1/6/2023,08:52,14:22,15:22,17:03
2,2/6/2023,07:58,14:50,15:50,17:01
3,3/6/2023,08:53,12:42,13:42,17:07
4,4/6/2023,07:58,14:27,15:27,17:02
5,5/6/2023,08:51,13:43,14:43,17:04
6,6/6/2023,07:57,13:18,14:18,17:01
7,7/6/2023,08:51,12:58,13:58,17:07
8,8/6/2023,07:50,12:47,13:47,17:03
9,9/6/2023,08:03,13:58,14:58,17:01
10,10/6/2023,07:54,14:12,15:12,17:00
11,11/6/2023,07:57,14:45,15:45,17:07
12,12/6/2023,08:59,12:18,13:18,17:07
13,13/6/2023,08:52,14:28,15:28,17:03
14,14/6/2023,08:56,14:57,15:57,17:07
15,15/6/2023,07:59,14:16,15:16,17:05
16,16/6/2023,07:57,14:43,15:43,17:05
17,17/6/2023,08:59,13:23,14:23,17:04
18,18/6/2023,07:56,13:13,14:13,17:05
19,19/6/2023,08:58,14:44,15:44,17:03
20,20/6/2023,08:56,14:27,15:27,17:06
21,21/6/2023,08:50,12:12,13:12,17:04
22,22/6/2023,07:55,14:46,15:46,17:09
23,23/6/2023,08:55,12:51,13:51,17:05
24,24/6/2023,07:59,13:39,14:39,17:01
25,25/6/2023,08:53,12:29,13:29,17:00
26,26/6/2023,07:55,12:46,13:46,17:02
27,27/6/2023,08:54,14:27,15:27,17:08
28,28/6/2023,08:51,13:32,14:32,17:08
29,29/6/2023,07:51,12:20,13:20,17:03
30,30/6/2023,08:50,14:37,15:37,17:09
